term;uuid;concept;type;term_uuid;term_misspelled;version
sjuksksöterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;28673a04-34fd-5025-a044-7de9fc425259;True;NARVALONTOLOGI-2.0.0.157
sjuksköterkska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;a66bb806-7e84-5785-bac9-1acf7666e9f8;True;NARVALONTOLOGI-2.0.0.157
sjuksköterks;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;936cab38-18f7-598e-b067-0e4656c1e63a;True;NARVALONTOLOGI-2.0.0.157
sjuksköterksa;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;d545bfb6-6add-5e66-a57b-28868276d6ac;True;NARVALONTOLOGI-2.0.0.157
sjuksköteska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;e41c1011-e902-524f-b063-8aa995026e1d;True;NARVALONTOLOGI-2.0.0.157
sjuksjöterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;a28de3f3-4ebc-5932-8081-97cbee648355;True;NARVALONTOLOGI-2.0.0.157
sjkusköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;9636ed3d-fa31-56ae-a220-17e6bc4468a2;True;NARVALONTOLOGI-2.0.0.157
sjukskötesrka;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;dcd3b41b-ccc1-58cc-b465-fb08c4b4f8ca;True;NARVALONTOLOGI-2.0.0.157
sjukköterska;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;c611d9a6-b090-5dd0-a21d-d643f1da4494;True;NARVALONTOLOGI-2.0.0.157
sjukköterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;b3ed48de-b6ca-54ef-a6c4-52b3cd4afabc;True;NARVALONTOLOGI-2.0.0.157
sjuksöterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;b1cf34f6-b40a-5835-9b6a-bfef4940bf94;True;NARVALONTOLOGI-2.0.0.157
sjusköterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;ef1df3f1-7d4b-5dd4-8a03-f6dfbc37b9fd;True;NARVALONTOLOGI-2.0.0.157
sjukskötskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;16848473-7da2-5543-92eb-0b1a10d209e2;True;NARVALONTOLOGI-2.0.0.157
sjuksöterkor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;827b230d-15ce-55c5-8448-c0856eb35642;True;NARVALONTOLOGI-2.0.0.157
sjuksköteskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;0286be3e-57c6-5b24-8613-4fdefeb8abb1;True;NARVALONTOLOGI-2.0.0.157
sjuksköterkor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;cf377225-5b4a-57a0-8128-5ce29fccbd01;True;NARVALONTOLOGI-2.0.0.157
sjukssköterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;fa259b8c-f789-5f82-bdbe-03dded4db9cf;True;NARVALONTOLOGI-2.0.0.157
sjuksktöterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;1395a7c8-54b7-523c-a0ba-164c63fff546;True;NARVALONTOLOGI-2.0.0.157
sjukskötorskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;7b589b51-19e5-5739-a731-7b557a01548e;True;NARVALONTOLOGI-2.0.0.157
sjuköterskor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;40889427-a02e-589b-bda5-b04a9334d753;True;NARVALONTOLOGI-2.0.0.157
sjukskötersor;e4250d5c-bac7-5ee8-8897-668e29e8eebb;Sjuksköterska;YRKE;fbe28457-1c22-5582-9432-d24e299c3309;True;NARVALONTOLOGI-2.0.0.157
sjukvårdbiträde;a8f24ef4-fa45-5726-869a-be760162e762;Sjukvårdsbiträde;YRKE;635f5da0-fcba-5005-b4bb-3367a836b378;True;NARVALONTOLOGI-2.0.0.157
sjukvårdpersonal;02db294e-cd5f-5926-b270-3c73ecdc19ee;Sjukvårdspersonal;YRKE;6cc59a08-0439-5ef8-98fc-4a6a8254f028;True;NARVALONTOLOGI-2.0.0.157
sjuk­vårdspersonal;02db294e-cd5f-5926-b270-3c73ecdc19ee;Sjukvårdspersonal;YRKE;13da77e6-f723-5125-b8a8-b5886d1da621;True;NARVALONTOLOGI-2.0.0.157
skadereperatör;30fb8de4-fe58-5f8a-b473-9b26ca13b322;Skadereparatör;YRKE;0cf59a26-6139-5786-bddf-bfb869ad60f6;True;NARVALONTOLOGI-2.0.0.157
skjutstativsförare;17591cde-8cd3-5b64-a1e6-ce8fea422ef3;Skjutstativförare;YRKE;4f6c1749-ab5a-5491-a272-26506aa4dfbe;True;NARVALONTOLOGI-2.0.0.157
skjutstativstrucksförare;d6c67354-950f-5ea1-aa8a-d0c8b8c486b5;Skjutstativtruckförare;YRKE;902af5d6-da9c-5a36-8fe6-1106c2204162;True;NARVALONTOLOGI-2.0.0.157
skjustativtruckförare;d6c67354-950f-5ea1-aa8a-d0c8b8c486b5;Skjutstativtruckförare;YRKE;f3b1d4a7-98ee-5a84-84d3-4c6e3e7d7f06;True;NARVALONTOLOGI-2.0.0.157
skjutstativstruckförare;d6c67354-950f-5ea1-aa8a-d0c8b8c486b5;Skjutstativtruckförare;YRKE;f8f8e431-4210-5882-8622-9ec952ecd74a;True;NARVALONTOLOGI-2.0.0.157
skogarbetare;6ef4ffd7-be42-5cb5-895c-0cc2aad9e455;Skogsarbetare;YRKE;9dfcd5d2-d7a7-5122-bd0e-75be973bff6c;True;NARVALONTOLOGI-2.0.0.157
skogsarbetere;6ef4ffd7-be42-5cb5-895c-0cc2aad9e455;Skogsarbetare;YRKE;bc8d7512-b32d-5da9-89f4-33d59ca2af16;True;NARVALONTOLOGI-2.0.0.157
skogsmaskinsförare;b636632d-899d-5080-a6f2-1adefac05645;Skogsmaskinförare;YRKE;5adb5bdb-56d7-596a-88e8-d562f5c4f000;True;NARVALONTOLOGI-2.0.0.157
skogsmaskinsmekaniker;11f0d9f0-ebdb-5b2b-a5fe-6ee9b52723ff;Skogsmaskinmekaniker;YRKE;09d985dd-20c6-5751-9f41-4654e3c06e01;True;NARVALONTOLOGI-2.0.0.157
skogservice;0d4432a2-267b-5dbe-9ade-72519ea831c2;Skogsservice;YRKE;a5606e67-9084-5acf-a1b2-6b5d656a1d59;True;NARVALONTOLOGI-2.0.0.157
skoladminstratör;9440e5ec-cae4-56ea-8fd0-b563b549e698;Skoladministratör;YRKE;ce43fdab-c9e7-5e7d-b81c-4ff2706505c3;True;NARVALONTOLOGI-2.0.0.157
