term;uuid;concept;type;term_uuid;term_misspelled;version
avslappnad;881766aa-f0f4-5ddd-882e-89cd0b49ed43;Avslappnad;FORMAGA;b0ce599b-8bc7-507c-8c66-c27ed89d7733;False;NARVALONTOLOGI-2.0.0.157
avslutare;a1311e0c-d523-5735-acaf-f21fc3394a9c;Avslutsfokuserad;FORMAGA;4ae49114-f21c-5dfc-bdbb-b9bf7e18b404;False;NARVALONTOLOGI-2.0.0.157
avslutsfokuserad;a1311e0c-d523-5735-acaf-f21fc3394a9c;Avslutsfokuserad;FORMAGA;e534b0c3-056a-5792-87b3-ad5b58bb3c3d;False;NARVALONTOLOGI-2.0.0.157
avslutsförmåga;a1311e0c-d523-5735-acaf-f21fc3394a9c;Avslutsfokuserad;FORMAGA;1d65633e-0da7-59bc-a4b3-d8cbb9dfb957;False;NARVALONTOLOGI-2.0.0.157
avslutsorienterad;a1311e0c-d523-5735-acaf-f21fc3394a9c;Avslutsfokuserad;FORMAGA;74c6b30b-0f58-5422-b878-05c49885b4be;False;NARVALONTOLOGI-2.0.0.157
avspänd;627957f8-cdbe-5fb8-9c39-664b210e54f9;Avspänd;FORMAGA;d2f2600a-7496-5683-946d-e9822a108c44;False;NARVALONTOLOGI-2.0.0.157
bedömningsförmåga;5dae3e72-0bb1-5fb7-a3b0-a274d0cb4da8;Bedömningsförmåga;FORMAGA;c793402a-c495-5cc2-9255-d1af0ee2e3d9;False;NARVALONTOLOGI-2.0.0.157
behärskad;737bae90-8b6f-5da7-9292-52bdf3be3948;Behärskad;FORMAGA;f231cb06-6198-584f-a7f5-8063b2eaad3d;False;NARVALONTOLOGI-2.0.0.157
bejakande;2ed31240-ac18-55f0-8303-eaac3a881dac;Bejakande;FORMAGA;c54d3b5f-b339-5c6c-854d-36ff1a7d9397;False;NARVALONTOLOGI-2.0.0.157
berättarförmåga;a5b70a3b-757a-5257-aabf-a9cba1961400;Berättarförmåga;FORMAGA;bdc27744-4be5-5a89-b3c8-6a6739a6cd25;False;NARVALONTOLOGI-2.0.0.157
beslutsam;4c301740-a8cf-5a30-9433-57db546cabbd;Beslutsam;FORMAGA;22b95d37-534c-5f25-adb9-f3e7dc045d27;False;NARVALONTOLOGI-2.0.0.157
beslutsamhet;4c301740-a8cf-5a30-9433-57db546cabbd;Beslutsam;FORMAGA;d8dd7783-eecd-5be2-a667-df9e63a4e823;False;NARVALONTOLOGI-2.0.0.157
beslutsbenägen;41766409-ae41-59ce-807d-92513e809b7a;Beslutsbenägen;FORMAGA;5cea7ad4-f719-548c-aa5a-9e838e66c14b;False;NARVALONTOLOGI-2.0.0.157
beslutsfattningsförmåga;6dd53069-4945-57d2-bffa-6221bb879343;Beslutsförmåga;FORMAGA;f445ed9b-32a7-5ca0-9643-ab62440de2e3;False;NARVALONTOLOGI-2.0.0.157
beslutsför;6dd53069-4945-57d2-bffa-6221bb879343;Beslutsförmåga;FORMAGA;5445d4f1-c989-5746-af13-8820e2458525;False;NARVALONTOLOGI-2.0.0.157
beslutsförmåga;6dd53069-4945-57d2-bffa-6221bb879343;Beslutsförmåga;FORMAGA;294a2d84-7545-5128-8e60-d96257d7bbbd;False;NARVALONTOLOGI-2.0.0.157
beslutskraftig;6dd53069-4945-57d2-bffa-6221bb879343;Beslutsförmåga;FORMAGA;9c1a89a8-68be-5b8b-9d11-c7d26a71f6c3;False;NARVALONTOLOGI-2.0.0.157
beslutsmässig;6dd53069-4945-57d2-bffa-6221bb879343;Beslutsförmåga;FORMAGA;8aef999a-1c27-547b-8e4d-aae884d106f9;False;NARVALONTOLOGI-2.0.0.157
bestämd;19fb8229-b159-502e-aa9b-cb4fd633175d;Bestämd;FORMAGA;8512a05b-ba77-507c-a59d-600a32457ebd;False;NARVALONTOLOGI-2.0.0.157
